"subject","item","prime","passive"
1,19,"active",1
1,17,"passive",0
1,15,"active",0
1,13,"passive",1
1,11,"active",0
1,7,"active",1
1,5,"passive",1
1,3,"active",1
2,17,"passive",1
2,15,"active",1
2,11,"active",1
2,7,"active",1
2,1,"passive",1
3,1,"passive",0
3,3,"active",1
3,5,"passive",1
3,9,"passive",1
3,11,"active",1
3,13,"passive",1
3,15,"active",1
3,17,"passive",0
3,19,"active",1
4,1,"passive",1
4,3,"active",1
4,7,"active",0
4,11,"active",0
4,13,"passive",1
4,15,"active",1
4,19,"active",0
5,1,"passive",1
5,3,"active",1
5,9,"passive",1
5,11,"active",1
5,13,"passive",1
5,15,"active",0
5,17,"passive",1
5,19,"active",1
6,1,"passive",0
6,3,"active",1
6,11,"active",1
6,13,"passive",1
6,15,"active",1
6,17,"passive",1
6,19,"active",1
7,19,"active",0
7,17,"passive",0
7,15,"active",0
7,13,"passive",1
7,9,"passive",1
7,7,"active",0
7,5,"passive",1
7,1,"passive",0
8,19,"active",1
8,17,"passive",0
8,15,"active",0
8,13,"passive",1
8,11,"active",0
8,9,"passive",0
8,7,"active",0
8,3,"active",0
8,1,"passive",0
9,3,"active",0
9,5,"passive",1
9,7,"active",1
9,11,"active",1
9,13,"passive",1
9,15,"active",0
9,19,"active",1
10,1,"passive",1
10,5,"passive",1
10,7,"active",1
10,9,"passive",1
10,11,"active",0
10,13,"passive",1
10,15,"active",1
10,17,"passive",1
10,19,"active",1
11,1,"passive",0
11,3,"active",1
11,5,"passive",1
11,7,"active",0
11,9,"passive",1
11,11,"active",0
11,13,"passive",1
11,15,"active",0
11,17,"passive",1
11,19,"active",1
12,19,"active",0
12,17,"passive",0
12,15,"active",1
12,13,"passive",1
12,11,"active",1
12,7,"active",0
12,3,"active",0
12,1,"passive",0
13,19,"active",1
13,17,"passive",0
13,15,"active",1
13,13,"passive",1
13,11,"active",0
13,5,"passive",1
14,1,"passive",1
14,3,"active",1
14,5,"passive",1
14,9,"passive",1
14,11,"active",0
14,13,"passive",1
14,15,"active",0
14,17,"passive",0
14,19,"active",0
15,1,"passive",1
15,3,"active",1
15,5,"passive",0
15,7,"active",1
15,9,"passive",1
15,11,"active",0
15,13,"passive",1
15,15,"active",0
15,17,"passive",1
16,19,"active",1
16,17,"passive",0
16,15,"active",0
16,13,"passive",1
16,11,"active",0
16,9,"passive",1
16,7,"active",0
16,5,"passive",1
16,3,"active",0
16,1,"passive",0
17,1,"passive",0
17,3,"active",1
17,7,"active",1
17,11,"active",1
17,13,"passive",1
17,15,"active",1
17,17,"passive",1
17,19,"active",1
18,1,"passive",0
18,3,"active",0
18,5,"passive",1
18,7,"active",1
18,11,"active",1
18,13,"passive",1
18,15,"active",1
18,17,"passive",0
18,19,"active",1
19,1,"passive",1
19,5,"passive",1
19,11,"active",1
19,15,"active",1
19,17,"passive",0
19,19,"active",0
20,19,"active",1
20,17,"passive",0
20,15,"active",0
20,13,"passive",1
20,11,"active",0
20,9,"passive",0
20,7,"active",0
20,5,"passive",0
20,3,"active",1
20,1,"passive",0
21,1,"passive",1
21,3,"active",1
21,5,"passive",1
21,7,"active",1
21,11,"active",0
21,13,"passive",1
21,15,"active",0
21,17,"passive",1
21,19,"active",1
22,19,"active",1
22,17,"passive",1
22,15,"active",1
22,13,"passive",0
22,11,"active",1
22,9,"passive",1
22,7,"active",1
22,5,"passive",0
22,1,"passive",1
23,19,"active",1
23,17,"passive",1
23,15,"active",1
23,13,"passive",1
23,11,"active",1
23,7,"active",1
23,3,"active",1
23,1,"passive",1
24,19,"passive",1
24,17,"active",1
24,15,"passive",0
24,13,"active",1
24,11,"passive",0
24,9,"active",0
24,7,"passive",0
24,5,"active",0
24,3,"passive",0
24,1,"active",0
25,19,"active",1
25,17,"passive",1
25,13,"passive",1
25,11,"active",1
25,9,"passive",1
25,7,"active",1
25,5,"passive",1
25,3,"active",1
25,1,"passive",1
26,19,"active",1
26,17,"passive",1
26,15,"active",0
26,13,"passive",1
26,11,"active",0
26,9,"passive",1
26,7,"active",1
26,5,"passive",0
26,3,"active",0
26,1,"passive",1
27,1,"passive",1
27,3,"active",1
27,5,"passive",1
27,7,"active",1
27,11,"active",0
27,13,"passive",1
27,15,"active",1
27,17,"passive",1
27,19,"active",1
28,19,"active",1
28,17,"passive",1
28,15,"active",1
28,13,"passive",1
28,11,"active",0
28,9,"passive",1
28,7,"active",1
28,5,"passive",1
28,3,"active",0
28,1,"passive",1
29,20,"active",1
29,18,"passive",1
29,16,"active",1
29,14,"passive",1
29,12,"active",1
29,10,"passive",1
29,8,"active",1
29,6,"passive",1
29,4,"active",1
29,2,"passive",1
30,1,"passive",1
30,3,"active",1
30,5,"passive",1
30,7,"active",1
30,9,"passive",0
30,13,"passive",0
30,15,"active",0
30,17,"passive",0
30,19,"active",1
31,1,"passive",1
31,5,"passive",1
31,11,"active",1
31,13,"passive",1
31,15,"active",1
31,17,"passive",1
32,19,"active",0
32,17,"passive",1
32,15,"active",0
32,13,"passive",0
32,11,"active",1
32,9,"passive",1
32,7,"active",1
32,5,"passive",1
32,3,"active",1
32,1,"passive",1
33,1,"passive",1
33,3,"active",1
33,5,"passive",0
33,7,"active",1
33,11,"active",0
33,13,"passive",0
33,15,"active",0
33,19,"active",1
